"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score"
"1",0,1,0,0,0,0,0,2,1,6,5
"2",0,0,0,1,0,1,1,0,1,0,-1
"3",0,0,0,0,1,0,0,0,0,1,1
"4",0,0,1,0,0,0,0,0,1,0,-1
"5",1,2,0,0,0,0,0,0,1,1,0
"6",0,1,0,0,1,0,0,1,0,1,1
"7",0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,2,2
"9",0,0,0,0,0,0,0,0,0,0,0
"10",0,1,0,1,0,0,0,0,0,0,0
"11",0,0,0,0,1,0,0,1,0,1,1
"12",0,0,0,0,0,1,0,0,1,0,-1
"13",0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,1,0,0,0,0,1,0,-1
"15",0,1,0,1,0,0,0,0,0,0,0
"16",0,1,0,0,1,0,0,1,0,1,1
"17",0,2,0,1,1,1,1,1,0,1,1
"18",0,0,0,1,0,2,0,0,2,0,-2
"19",0,1,0,0,1,0,1,1,0,1,1
"20",0,3,0,0,4,1,1,3,1,5,4
"21",1,1,1,0,1,0,1,1,1,1,0
"22",0,0,0,0,0,0,0,0,0,0,0
"23",0,1,0,0,1,0,1,1,0,1,1
"24",0,1,0,1,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0
"26",0,1,0,0,0,0,0,0,1,0,-1
"27",0,1,0,0,1,0,1,1,0,1,1
"28",0,0,1,0,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,0,0,0
"30",0,1,0,1,0,0,0,0,0,0,0
"31",0,0,0,0,1,0,0,1,0,1,1
"32",0,0,0,0,0,0,0,0,0,0,0
"33",0,0,0,0,0,0,0,0,0,0,0
"34",1,0,0,0,0,0,0,0,1,0,-1
"35",0,0,0,0,0,0,0,0,0,0,0
"36",0,0,0,0,0,0,0,0,0,0,0
"37",0,2,0,1,2,0,0,0,0,2,2
"38",0,0,0,0,0,0,0,0,0,0,0
"39",0,0,1,0,0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,0,0,0,0
"41",0,1,0,0,1,0,0,1,0,1,1
"42",0,0,1,0,0,1,0,1,1,1,0
"43",0,0,0,0,1,0,0,1,0,1,1
"44",0,0,0,0,1,0,0,1,0,2,2
"45",0,0,0,0,0,0,0,0,0,0,0
"46",0,2,0,1,1,0,1,1,0,1,1
"47",0,1,0,1,1,0,0,0,0,2,2
"48",0,1,0,0,1,0,1,1,0,1,1
"49",0,1,0,0,1,0,1,1,0,1,1
"50",0,0,0,0,0,0,0,0,0,0,0
"51",0,0,0,0,0,0,0,0,0,1,1
"52",0,1,0,0,1,0,1,1,0,1,1
"53",0,0,0,0,0,0,0,0,0,1,1
"54",0,0,0,0,0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0,0,0,0,0
"56",0,0,0,0,1,0,0,0,0,1,1
"57",0,0,0,0,0,0,0,0,0,0,0
"58",0,0,0,0,2,0,0,2,1,2,1
"59",0,0,0,0,0,1,0,0,1,0,-1
"60",1,2,0,1,2,0,1,1,1,2,1
"61",0,0,0,0,1,0,0,0,0,1,1
"62",0,0,0,0,0,0,0,0,0,0,0
"63",0,1,0,2,1,0,1,1,1,2,1
"64",0,1,0,1,0,0,0,0,0,0,0
"65",0,1,0,0,1,0,1,0,0,1,1
"66",0,0,0,0,1,0,0,0,0,1,1
"67",0,2,0,1,1,0,0,1,0,1,1
"68",0,0,0,0,0,0,0,0,0,0,0
"69",0,1,0,0,1,0,0,1,0,1,1
"70",0,0,0,0,0,0,0,0,0,0,0
"71",0,0,1,0,0,0,0,0,0,0,0
"72",0,1,0,0,1,0,0,1,0,1,1
"73",0,1,0,1,1,0,0,1,0,1,1
"74",0,0,0,0,0,0,0,0,0,0,0
"75",0,0,0,0,0,0,0,0,0,0,0
"76",1,2,0,1,2,0,1,1,1,2,1
"77",0,0,0,0,0,0,0,0,0,0,0
"78",0,1,0,0,1,0,0,1,0,1,1
"79",0,0,0,1,0,1,0,0,1,0,-1
"80",0,0,0,0,0,0,0,0,0,0,0
"81",0,2,0,1,1,0,0,1,0,1,1
"82",0,1,0,0,0,0,0,1,0,1,1
"83",1,0,1,1,0,1,0,0,1,0,-1
