order,text,rating,product
1,"I got this fitbit back in January so had for 10 months now and I couldn't go back. It motivates me to get moving and is really easy to use. The sleep tracking is really interesting and there's a lot of choice when it comes to logging workouts.
The app itself is also really useful with so much info and things to log and track.
There are only two downsides: one is when you get sweaty (which is a lot when working out) the heart rate doesn't record properly so your calories aren't correct which is a major downside. The other is the lack of GPS - for instance if you want to track a run or cylcle you have to have your phone near by and often when I do this is doesn't record half if it because the GPS drops out so much.
Now the versa 3 has come out that isn't an issue as the new one has GPS on the device. If that's important for you then I would definitely recommend getting the newer Versa 3.",4.0 out of 5 stars,Fitbit FB507BKBK Versa
6,FitBit started showing a static screen one day randomly. Then it got worse. The static screen stayed permanently. No help from fitbit.,1.0 out of 5 stars,Fitbit FB507BKBK Versa
9,Love this fit bit. Had a smaller one before but this one much clearer.,5.0 out of 5 stars,Fitbit FB507BKBK Versa
11,It was a defective product.,1.0 out of 5 stars,Fitbit FB507BKBK Versa
18,Great product long battery life and the mobile app adds more information,5.0 out of 5 stars,Fitbit FB507BKBK Versa
20,I bought this for Granddaughter and she is very happy with it.,5.0 out of 5 stars,Fitbit FB507BKBK Versa
28,"Me gusto el diseño pero a los 10 días que me llego ya no sirvió la pantalla, lo tuve que devolver y me reembolsaron el dinero",1.0 out of 5 stars,Fitbit FB507BKBK Versa
29,My charger for Fitbit  and not working .,2.0 out of 5 stars,Fitbit FB507BKBK Versa
34,"Thrilled with my purchase so far, can be problematic during set up but once connected with device I had no problems to set up.",5.0 out of 5 stars,Fitbit FB507BKBK Versa
35,This watch left a burn mark on my arm.,1.0 out of 5 stars,Fitbit FB507BKBK Versa
36,Excellent,4.0 out of 5 stars,Fitbit FB507BKBK Versa
42,"Really nice! Arrived in 2 days.
Only issue is unable to connect to Spotify. Seems many others experiencing this same issue.",5.0 out of 5 stars,Fitbit FB507BKBK Versa
44,no complaints,4.0 out of 5 stars,Fitbit FB507BKBK Versa
47,One of the worst things I've ever bought. Avoid.,1.0 out of 5 stars,Fitbit FB507BKBK Versa
49,"This is a great smart watch for tracking your heart rate, step size and etc...",5.0 out of 5 stars,Fitbit FB507BKBK Versa
58,I am very very happy using my versa 2 wacht,5.0 out of 5 stars,Fitbit FB507BKBK Versa
61,Great watch lovely colour lots of complements,5.0 out of 5 stars,Fitbit FB507BKBK Versa
66,Broke after 3 months... black screen.,2.0 out of 5 stars,Fitbit FB507BKBK Versa
69,Good price great tech,5.0 out of 5 stars,Fitbit FB507BKBK Versa
70,"I have upgraded from the Flex 2. I love this! The only negative and its why I dropped a star is that for the Fitbit pay its very unusual banks, there are only 2 on the list I've heard of and not very common banks. It would be good to use this feature but until more banks are added I can't.",4.0 out of 5 stars,Fitbit FB507BKBK Versa
72,Utter waste of money,1.0 out of 5 stars,Fitbit FB507BKBK Versa
75,Ok,5.0 out of 5 stars,Fitbit FB507BKBK Versa
77,Very good product,5.0 out of 5 stars,Fitbit FB507BKBK Versa
81,It's ok the strap has been making red Mark's on my arm where I put the watch,4.0 out of 5 stars,Fitbit FB507BKBK Versa
83,"Veramente un'ottimo smartwatch, facile da associare.",5.0 out of 5 stars,Fitbit FB507BKBK Versa
84,Great until tracking became inaccurate and the time kept changing on it's own?,2.0 out of 5 stars,Fitbit FB507BKBK Versa
85,Good,4.0 out of 5 stars,Fitbit FB507BKBK Versa
90,"Tolle Uhr, gute Funktionen, nur, dass man Anrufe nicht annehmen kann, ist nicht so gut",4.0 out of 5 stars,Fitbit FB507BKBK Versa
92,Era proprio quello che mi aspettavo,5.0 out of 5 stars,Fitbit FB507BKBK Versa
96,"Passt
Funktioniert
Und für den Preis im Vergleich zu meiner Apple Watch absolut ok",4.0 out of 5 stars,Fitbit FB507BKBK Versa
98,Excellent product.,5.0 out of 5 stars,Fitbit FB507BKBK Versa
99,Sleep tracking is great. As is the step tracker.,5.0 out of 5 stars,Fitbit FB507BKBK Versa
102,"Steps are getting counted even while riding a bike,car etc, sensitivity adjustment should be provided or incorporated",3.0 out of 5 stars,Fitbit FB507BKBK Versa
103,Battery draining within 10-12 hours.,1.0 out of 5 stars,Fitbit FB507BKBK Versa
104,Super Produkt etwas große Uhr etwas zu teuer,5.0 out of 5 stars,Fitbit FB507BKBK Versa
105,Perfetto,3.0 out of 5 stars,Fitbit FB507BKBK Versa
107,I love it! So glad I chose this instead of a Apple Watch,5.0 out of 5 stars,Fitbit FB507BKBK Versa
111,"Früher hatte ich nie Uhren getragen, aber seitdem ich einmal eine Fitbit hatte möchte ich nicht mehr darauf verzichten.",5.0 out of 5 stars,Fitbit FB507BKBK Versa
113,Sehr gut.,5.0 out of 5 stars,Fitbit FB507BKBK Versa
117,Nice Product,5.0 out of 5 stars,Fitbit FB507BKBK Versa
123,All I can say brilliant,5.0 out of 5 stars,Fitbit FB507BKBK Versa
133,Don’t buy.. pathetic product,1.0 out of 5 stars,Fitbit FB507BKBK Versa
139,Excellent quality gave to Grandson for Christmas,5.0 out of 5 stars,Fitbit FB507BKBK Versa
140,"I love my fitbit. Amazing color, super dependable and reliable.",5.0 out of 5 stars,Fitbit FB507BKBK Versa
143,"Tengo q probar, pero todo ha sido súper rápido y muy bonito",5.0 out of 5 stars,Fitbit FB507BKBK Versa
144,"Looks of Fitbit versa 2 is not good very dispointed ,if we compare cost of watch is higher than expectations",1.0 out of 5 stars,Fitbit FB507BKBK Versa
148,I love this watch. The only thing I have changed is the silicon strap as it's not that comfortable but the actual watch is fab. I like that all my notifications come through on it and that I can reply to text via Alexa.,5.0 out of 5 stars,Fitbit FB507BKBK Versa
149,Just purchased fitbit versa 3 and getting used to it.  Seems really good so far.,4.0 out of 5 stars,Fitbit FB507BKBK Versa
151,Great product and a good price,5.0 out of 5 stars,Fitbit FB507BKBK Versa
153,"This is a great tracker and much more eg weather,spotify Alexa",5.0 out of 5 stars,Fitbit FB507BKBK Versa
154,"Macht was sie soll, gute Option zum Appel Gerät.",5.0 out of 5 stars,Fitbit FB507BKBK Versa
165,All parameter trackings are good except for SpO2 tracking.,5.0 out of 5 stars,Fitbit FB507BKBK Versa
171,Still learning how to set itup,5.0 out of 5 stars,Fitbit FB507BKBK Versa
173,perfetto per il suo utilizzo e semplicissimo da usare. Si associa perfettamente a iPhone anche se mancano alcune app come chiamate,5.0 out of 5 stars,Fitbit FB507BKBK Versa
175,Super Uhr!,5.0 out of 5 stars,Fitbit FB507BKBK Versa
183,Fantastic fitbit absolutely love it.,5.0 out of 5 stars,Fitbit FB507BKBK Versa
187,Go for it,4.0 out of 5 stars,Fitbit FB507BKBK Versa
194,"I'm on my 3rd day and really liking it, I'm already moving more and being generally more active. I'm also logging food and drinking my RDA of water.",5.0 out of 5 stars,Fitbit FB507BKBK Versa
195,"Ottimo prodotto, comprato durante il Black Friday ad un prezzo imperdibile
Consigliato",5.0 out of 5 stars,Fitbit FB507BKBK Versa
196,"Really good watch. The battery life is good charge every 3/4 days, its easy to use and syncs well with my phone. Love it!",5.0 out of 5 stars,Fitbit FB507BKBK Versa
198,Love it,5.0 out of 5 stars,Fitbit FB507BKBK Versa
204,Have tried to connect it on several occasions but it just won't connect.,1.0 out of 5 stars,Fitbit FB507BKBK Versa
206,I love the watch looks great and keeps me updated with steps and heart rate and I also love the alarm easy to use I would recommend this product,5.0 out of 5 stars,Fitbit FB507BKBK Versa
208,Amazing watch! I struggled a bit with setting up Alexa,4.0 out of 5 stars,Fitbit FB507BKBK Versa
